Structure ID,Ti-S min,Ti-S max,Li-S min,Li-S max,Ti-Li min,Ti-Li max,Energy/unit formula (eV),Energy/unit formula (-E mono) (eV),Band Gap (eV),a,b,c,alpha,beta,gamma,volume prim,volume conv,mulliken Ti,mulliken Li,mulliken S,Description
868,2.2197171785335668,3.2216294655809397,2.4920586162624088,3.109709391572936,3.325191214241742,3.813987919646854,-504326.175540551,0.182,2.199,15.462745236906871,15.399998446072678,15.997073561338754,90.25866622849212,90.04420923787939,90.01700263103552,952.3207636982182,3809.2830547928725,-0.8532777777777776,-0.8532777777777776,0.7799629629629621,Dispersed
880,2.151084684223801,3.995242212484658,2.28862882049781,3.9819501116767957,3.301612375999313,4.225052115083145,-504321.55776926357,0.696,1.794,14.118132201100423,16.978089415807062,17.46880691741358,89.18738350841191,90.21588296645189,90.93470912081851,1046.56238592935,4186.2495437174,-0.8523333333333332,-0.8523333333333332,0.7588888888888903,Vicinal Ti rows
1097,2.152242743738928,4.001950748663355,2.2885011619708857,3.9770175119912796,3.304035143010072,4.23020268049253,-504321.5584207045,0.695,1.795,14.113648415632408,17.002280202035582,17.449705373702756,89.22373818490647,90.22938063162869,90.90257458036353,1046.5927023560516,4186.370809424208,-0.8521666666666667,-0.8521666666666667,0.759222222222224,Ti Planes (1 0 0)
1126,2.2098672271389748,3.3995134434289453,2.516503206896291,3.1275535470965674,3.2899439759305658,3.7961157308689604,-504326.3401528404,0.164,2.509,15.495596417381375,15.436625354603274,15.944163562444464,89.76416753122511,89.6427627257061,90.35156439682503,953.4151421255802,3813.66056850232,-0.8526666666666665,-0.8526666666666665,0.780555555555555,Dispersed
1363,2.2008164860998307,3.16723502008288,2.523227732013641,2.937445866669156,3.286106714369618,3.758589914643353,-504326.4896413603,0.148,2.531,15.799024799878866,15.360520192481584,15.671869386252256,89.98162620812992,90.17590079476527,90.22373342604773,950.8053966626135,3803.2215866504544,-0.8528333333333333,-0.8528333333333333,0.7798888888888875,Dispersed
1435,2.1821767125325446,3.9483122325853945,2.3203128439558953,3.9814893304583387,2.9640996738341143,4.127781229763518,-504321.52385066164,0.699,1.706,17.059596944581468,14.500134825625434,16.693302523975508,91.56104290648851,86.69964118342456,90.66150844438341,1030.1946043504252,4120.7784174017015,-0.8496111111111109,-0.8496111111111109,0.7546296296296298,Ti rows
1526,2.2084549293271425,3.4271147928829993,2.482923042566305,3.0288444430281327,3.2638449523674162,3.7710665886015073,-504326.2274016971,0.177,2.476,15.524178314849818,15.811053847306102,15.555157969685906,89.38086819459949,89.92876530960059,90.6002261217115,954.4084763979841,3817.633905591937,-0.8531666666666662,-0.8531666666666662,0.781185185185187,Dispersed
1639,2.2427424558810167,2.9777375711922995,2.4588772244160495,3.385397262515228,3.304867710359156,3.8810096645636296,-504321.56156454637,0.695,1.428,14.375762937915825,16.520182783393945,16.51910336235219,95.29170350810865,89.97516710709294,90.0223985172651,976.6012390468102,3906.404956187241,-0.8611111111111112,-0.8611111111111112,0.7374814814814812,Ti Planes (1 1 1)
1688,2.2131068834309704,3.2155380816916477,2.419930062334159,2.9460155865508466,3.2658835983690078,3.8087711450986754,-504325.6924122122,0.236,2.296,15.721307463631272,15.600919814818065,15.500927924406382,90.61587630769169,90.40752010808588,90.51822738414081,950.347478787778,3801.389915151112,-0.8518888888888885,-0.8518888888888885,0.7799629629629621,Dispersed
1887,2.226625083725231,3.302110670399128,2.492271555216329,2.9998002285175045,3.2975109562002616,3.7851508438036174,-504326.5010615494,0.146,2.465,15.598708407833847,15.735898467208955,15.465518244224064,89.67612761614059,90.41308254040136,89.7763415796096,948.9931257948324,3795.97250317933,-0.8530555555555557,-0.8530555555555557,0.780555555555555,Dispersed
2312,2.195020113439375,4.032045280232656,2.322054685012277,3.65592646016646,2.844787056035316,4.057725926029359,-504323.7322690546,0.454,1.72,13.978842553731123,16.080866412859677,18.232333877460874,101.20456907058642,88.2932564623447,84.74903669030029,999.6852872081807,3998.741148832723,-0.8537222222222223,-0.8537222222222223,0.764222222222223,Ti rows
2801,2.152072846202078,4.001836962996155,2.288777777180099,3.977353880703418,3.3023437340912056,4.230335913352839,-504321.5575532867,0.696,1.798,14.105756714362569,17.009700639151166,17.460040495632587,89.22284702713924,90.23641980523098,90.91922891760495,1047.0782749381578,4188.313099752631,-0.8520555555555558,-0.8520555555555558,0.759259259259256,Ti rows
3579,2.2082746722770707,3.430004999664002,2.4842990498136275,3.0334054433433715,3.263669923513759,3.765596332007468,-504326.22670383344,0.177,2.478,15.525600141913555,15.817899865554008,15.54780036967065,89.37528194407078,89.9323410077053,90.60367275106104,954.4559660815579,3817.8238643262325,-0.8531666666666662,-0.8531666666666662,0.7811111111111089,Dispersed
3842,2.1970001799126497,3.4088345001152676,2.4999578496214907,3.0111521274262145,3.2905084900757333,3.7966271550866115,-504326.2561768002,0.174,2.549,15.408029677757575,15.561166298207624,15.922487759557942,90.43220694429827,90.93911315456025,90.84813758723277,954.1597416610787,3816.6389666443156,-0.8530555555555557,-0.8530555555555557,0.7841851851851835,Dispersed
